FECHA,Mh_PRECURSOR,Mv_PRECURSOR,Dh_TOTAL,F_DENSITY,Delta_foF2_1,slope_foF2_1,foF2_max_SW,foF2_min_SW,foF2_drop_SW,num_muestras_foF2,delta_inicio_min,delta_fin_min,extremos_validos,hora_inicio_real,hora_fin_real,tiempo_real_min,num_registros,Bz_mean_16_19,Bz_min_16_19,Bz_slope_16_19,E_mean_16_19,E_max_16_19,E_slope_16_19,SW_speed_mean_16_19,SW_speed_std_16_19,SW_speed_slope_16_19,Dst_mean_16_19,Dst_min_16_19,Pdyn_mean_16_19,Pdyn_max_16_19,BY_mean_16_19,Kp_last_6h_mean,Kp_last_6h_max,Kp_last_6h_sum,F10.7_Index,num_registros_16_19,num_registros_kp_13_18
2013-02-14,401.2,-0.1399999999999996,-16.799999999999955,10.000000000000002,-0.6000000000000014,-0.005,10.3,9.4,0.9000000000000004,9,0.0,0.0,True,2013-02-14 17:00:00,2013-02-14 19:00:00,120.0,9,-0.95,-1.1,0.0399999999999999,0.01,0.19,0.04,382.75,1.2583057392117916,-0.5,-19.5,-21,1.23,1.29,1.6,21.5,23.0,129.0,97.0,4,6
2013-02-15,,,,,,,,,,0,,,False,,,,0,-0.4499999999999999,-1.9,-0.2199999999999999,-0.2275,0.13,0.023,336.25,5.315072906367325,-3.9,-17.25,-18,1.2075,1.42,2.15,16.5,20.0,99.0,97.7,4,6
2013-02-16,452.2,0.5858333333333334,70.30000000000001,10.186111111111112,-3.4000000000000004,-0.0283333333333333,11.75,8.2,3.5500000000000007,9,0.0,0.0,True,2013-02-16 17:00:00,2013-02-16 19:00:00,120.0,9,1.1749999999999998,-1.1,-0.1899999999999999,-1.7400000000000002,-0.8,0.426,379.25,11.615363389350618,-5.3,-16.25,-19,2.8575000000000004,3.91,7.125,21.5,33.0,129.0,100.8,4,6
2013-02-17,415.5,-0.1099999999999999,-13.199999999999989,8.794444444444444,-2.45,-0.0204166666666666,9.65,7.2,2.45,9,0.0,0.0,True,2013-02-17 17:00:00,2013-02-17 19:00:00,120.0,9,1.075,-1.5,1.31,-1.1225,-0.29,-0.411,352.25,4.7871355387816905,-2.3,-34.5,-40,1.685,1.89,4.525,25.0,30.0,150.0,103.1,4,6
2013-02-18,398.6,0.1266666666666665,15.199999999999989,9.677777777777775,-0.6999999999999993,-0.0058333333333333,10.0,9.3,0.6999999999999993,9,0.0,0.0,True,2013-02-18 17:00:00,2013-02-18 19:00:00,120.0,9,1.2,-0.9,0.36,-0.8175,-0.12,-0.137,319.25,5.909032633745278,3.5,-26.25,-31,0.9425,1.01,3.0250000000000004,21.5,33.0,129.0,102.3,4,6
2013-02-19,427.4,0.188333333333333,22.59999999999997,9.422222222222224,-1.700000000000001,-0.0141666666666666,10.3,8.6,1.700000000000001,9,0.0,0.0,True,2013-02-19 17:00:00,2013-02-19 19:00:00,120.0,9,-0.7499999999999999,-2.3,-1.14,-0.6675,0.07,0.525,365.0,7.702813338860896,-5.4,-13.0,-14,1.865,2.08,4.825,18.5,20.0,111.0,109.9,4,6
2013-02-20,411.3,0.0816666666666667,9.800000000000011,8.722222222222221,-2.000000000000001,-0.0166666666666666,9.8,7.8,2.000000000000001,9,0.0,0.0,True,2013-02-20 17:00:00,2013-02-20 19:00:00,120.0,9,1.925,-0.8,-2.01,0.0649999999999999,1.13,0.884,400.25,4.99165971062398,2.3,-11.0,-14,2.6525,2.91,-3.55,15.0,20.0,90.0,111.0,4,6
2013-02-21,452.8,0.5375,64.5,10.511111111111113,-2.25,-0.01875,11.55,9.3,2.25,9,0.0,0.0,True,2013-02-21 17:00:00,2013-02-21 19:00:00,120.0,9,-0.5,-1.7,-0.7599999999999999,0.985,1.56,0.19,392.75,5.852349955359813,2.3,-22.75,-24,2.3425,2.58,-4.075,18.5,20.0,111.0,106.2,4,6
2013-02-22,457.6,0.5441666666666668,65.30000000000001,10.714285714285714,-1.5999999999999996,-0.0133333333333333,12.4,9.5,2.9000000000000004,7,0.0,0.0,True,2013-02-22 17:00:00,2013-02-22 19:00:00,120.0,7,-2.625,-3.2,-0.45,1.75,1.85,0.092,391.25,3.2015621187164243,2.3,-25.25,-31,1.595,1.7,-4.3500000000000005,28.0,33.0,168.0,104.7,4,6
2013-02-23,,,,,,,,,,0,15.0,0.0,False,2013-02-23 17:15:00,2013-02-23 19:00:00,,6,-1.075,-2.0,-0.31,0.5125,0.76,0.009,364.5,4.203173404306164,-3.2,-22.0,-24,1.4174999999999998,1.44,-0.925,23.0,23.0,138.0,97.5,4,6
2013-02-24,,,,,,,,,,0,60.0,0.0,False,2013-02-24 18:00:00,2013-02-24 19:00:00,,5,1.425,1.2,0.03,-0.03,0.03,-0.018,314.75,0.957427107756338,0.3,-9.75,-13,1.1025,1.13,-2.225,5.0,7.0,30.0,93.0,4,6
2013-02-25,,,,,,,,,,0,,,False,,,,0,0.25,0.0,0.0399999999999999,0.19,0.31,0.046,348.0,2.449489742783178,-1.8,6.0,3,3.3475,4.01,-1.45,13.5,17.0,81.0,93.5,4,6
2013-03-05,,,,,,,,,,0,15.0,0.0,False,2013-03-05 17:15:00,2013-03-05 19:00:00,,8,-1.1,-1.9,0.54,0.665,0.77,-0.056,345.25,4.193248541803041,-2.3,-8.75,-17,1.4449999999999998,1.53,-1.85,8.5,10.0,51.0,116.6,4,6
2013-03-06,,,,,,,,,,0,0.0,-15.0,False,2013-03-06 17:00:00,2013-03-06 18:45:00,,8,2.4,2.1,-0.14,-1.05,-0.41,-0.25,316.75,3.5,-2.1,1.75,-2,1.875,2.2,2.4,3.0,3.0,18.0,112.6,4,6
